index,context,target,output,neg1,neg2,neg3
1607,i hate seeing animals in pain.,i try to keep active.,I don't like suffering at all.  That's why I stay active.,I wish I could enjoy watching football more.  I hate seeing animal deaths.  I don't like watching NFL games.,What makes you hate football?,I have a pet bird that gets hurt while I watch the game.
1608,technology and programming will train me for my future career.,catching walleye is a favorite sport of mine.,I like fishing for walleye so much because I feel like the world is so technological these days that it's nice to get a break with nature.,I love computer programming.,So you need to do a lot of programming to become a good musician.,I like programming.
1610,technology and programming will train me for my future career.,catching walleye is a favorite sport of mine.,I like catching walleye when not studying for my career.,I like to program in various plants throughout my life.,I hope to help the world grow.,I want to be a computer programmer.
1611,i enjoy jogging.,i have a long commute.,Jogging is good.  I like to stretch my legs after I get off the train from work.,I like to play sports with my children and am having a lot of fun in jogging.,"I have kids as well, can you jogging for me? I like going to the park.",I like to go to the gym with my kids.
1612,i enjoy jogging.,i have a long commute.,"I used to commute on foot, but then I moved and now I have to drive to work. I've started jogging on weekends now to get myself back into shape.",I love my siblings.,My brother is my best friend.,I used to do cardio in my siblings room.
1613,i enjoy jogging.,i have a long commute.,"I prefer biking, I like biking to work so I can stay active.",I love working out.,I enjoy jogging when it's cold outside in January.,I like to wear shorts outside.
1614,i want to write a book before i die.,i teach middle school art.,What type of book do you want to write? Anything related to your occupation?,I want to do a book before I die.,I want to be one of the authors.,I've always wanted to write a book but the world didn't let me because I'm not a plant designer.
1615,i want to write a book before i die.,i teach middle school art.,Maybe I can illustrate your book for you.,I love animals but have trouble making money from it.,I want to write a book before I die.,"How do you know I am a writer? I just want to write a book, and I love dogs, cats and dogs."
1616,i want to write a book before i die.,i teach middle school art.,I love spaghetti.,I like to cook.  I like a good cooking book.,"I want to see the world burn with my cooking, and that's what I want to do after I die.",my favorite book is called Cooking for a living.  I plan on writing one after I die.
1617,i have a crummy job at scrubway.,i am in college.,I have to work to go to school.,"I usually get to work late, so I get to drive my car to work.",My job at the office is really good because I don't need any fancy cars.,"I work in a garage at a car dealership, so I have to live with a car."
1618,i have a crummy job at scrubway.,i am in college.,"It's just until I graduate and can get a better job.  Right now, I'm in college.",I work at work when I'm not hungry.,I hate having to buy meat and make my own when I go on vacation.,I work at a farm
1619,i have a crummy job at scrubway.,i am in college.,I work my way through college at a bad job.,My job at scrubway is pretty great.,I'm too afraid to act out I have to work at a job with a lot of responsibility and responsibilities.,I like being creative when I'm busy doing my job.
1620,i love spanish movements.,i hate to be a disappointment to the people i love.,but my parents hate them.,I like to do something that requires a permit. I've learned Spanish and want to become a private investigator and hunt deer.,I have had friends that were stationed in Spain stationed in Wyoming.,This permits me to hunt deer
1621,i love spanish movements.,i hate to be a disappointment to the people i love.,My family are from the southern part of Spain.,I love Spanish movements more than I love my own daughter.,"I like them too, but they're not what I was looking for. I like the movements in French.","We use it around the world, and I think every country has some pretty interesting movements."
1622,the smell of the ice and the coldness in the area draws me to games.,i am an older sister.,I have younger siblings and they love snow and like to watch games.,I like to play games with friends,I'm always up high at games.,i am currently taking a game to go.
